,date,pred,true
0,2022-03-13,6568.0596,6554.968
1,2022-03-14,7230.917,7116.699
2,2022-03-15,7311.232,7137.591
3,2022-03-16,7331.036,7451.3105
4,2022-03-17,7377.791,7633.5356
5,2022-03-18,7259.5215,7695.4204
6,2022-03-19,6919.0176,6999.5806
7,2022-03-14,7209.7026,7116.699
8,2022-03-15,7316.417,7137.591
9,2022-03-16,7319.7173,7451.3105
10,2022-03-17,7379.676,7633.5356
11,2022-03-18,7255.36,7695.4204
12,2022-03-19,6827.41,6999.5806
13,2022-03-20,6770.752,6482.3037
14,2022-03-15,7307.043,7137.591
15,2022-03-16,7354.9043,7451.3105
16,2022-03-17,7383.511,7633.5356
17,2022-03-18,7244.8755,7695.4204
18,2022-03-19,6870.226,6999.5806
19,2022-03-20,6796.505,6482.3037
20,2022-03-21,7288.886,7259.8516
21,2022-03-16,7274.7827,7451.3105
22,2022-03-17,7300.0894,7633.5356
23,2022-03-18,7230.2188,7695.4204
24,2022-03-19,6859.9604,6999.5806
25,2022-03-20,6834.1006,6482.3037
26,2022-03-21,7277.5327,7259.8516
27,2022-03-22,7416.7236,7425.5986
28,2022-03-17,7517.477,7633.5356
29,2022-03-18,7384.878,7695.4204
30,2022-03-19,7071.2573,6999.5806
31,2022-03-20,6957.915,6482.3037
32,2022-03-21,7356.8154,7259.8516
33,2022-03-22,7498.2173,7425.5986
34,2022-03-23,7527.38,7511.9487
35,2022-03-18,7524.813,7695.4204
36,2022-03-19,7104.3843,6999.5806
37,2022-03-20,7059.8086,6482.3037
38,2022-03-21,7463.7314,7259.8516
39,2022-03-22,7572.139,7425.5986
40,2022-03-23,7640.927,7511.9487
41,2022-03-24,7662.938,7573.605
42,2022-03-19,7259.9487,6999.5806
43,2022-03-20,7043.6543,6482.3037
44,2022-03-21,7300.6777,7259.8516
45,2022-03-22,7512.0205,7425.5986
46,2022-03-23,7593.476,7511.9487
47,2022-03-24,7606.6826,7573.605
48,2022-03-25,7453.129,7333.783
49,2022-03-20,6746.6987,6482.3037
50,2022-03-21,7314.105,7259.8516
51,2022-03-22,7480.3086,7425.5986
52,2022-03-23,7502.3237,7511.9487
53,2022-03-24,7522.136,7573.605
54,2022-03-25,7408.216,7333.783
55,2022-03-26,7015.8184,6883.713
56,2022-03-21,6993.415,7259.8516
57,2022-03-22,7225.6294,7425.5986
58,2022-03-23,7318.075,7511.9487
59,2022-03-24,7382.4556,7573.605
60,2022-03-25,7356.596,7333.783
61,2022-03-26,6919.68,6883.713
62,2022-03-27,6734.2363,6844.104
63,2022-03-22,7537.7144,7425.5986
64,2022-03-23,7570.7324,7511.9487
65,2022-03-24,7614.7573,7573.605
66,2022-03-25,7517.3535,7333.783
67,2022-03-26,7080.3965,6883.713
68,2022-03-27,6964.279,6844.104
69,2022-03-28,7470.0225,7479.9385
70,2022-03-23,7543.256,7511.9487
71,2022-03-24,7577.924,7573.605
72,2022-03-25,7476.674,7333.783
73,2022-03-26,7085.4224,6883.713
74,2022-03-27,6910.9844,6844.104
75,2022-03-28,7422.746,7479.9385
76,2022-03-29,7594.984,7728.544
77,2022-03-24,7556.0684,7573.605
78,2022-03-25,7524.15,7333.783
79,2022-03-26,7097.1226,6883.713
