dataset,mape,num_samples
sgChronos_pl1_zero_shot,0.6336717140410282,12272
sgChronos_pl12_zero_shot,1.2512942398933788,147132
sgChronos_pl24_zero_shot,1.479705246309119,293976
sgChronos_pl48_zero_shot,1.762292044295435,586800
sg_dailyChronos_pl1_zero_shot,1.4405362820856895,510
sg_dailyChronos_pl7_zero_shot,1.833304606515234,3528
sg_dailyChronos_pl14_zero_shot,1.9615556076695315,6958
sg_dailyChronos_pl30_zero_shot,2.0547710860899926,14430
sg_dailyChronos_pl60_zero_shot,2.206722422732119,27060
ausChronos_pl1_zero_shot,1.695075078551627,15776
ausChronos_pl12_zero_shot,4.170494783055505,189180
ausChronos_pl24_zero_shot,4.671195953226449,378072
ausChronos_pl48_zero_shot,5.343270152881993,754992
aus_dailyChronos_pl1_zero_shot,3.355874052093552,656
aus_dailyChronos_pl7_zero_shot,4.436543252121315,4550
aus_dailyChronos_pl14_zero_shot,4.637328649967736,9002
aus_dailyChronos_pl30_zero_shot,5.046149933025203,18810
aus_dailyChronos_pl60_zero_shot,5.866816525944516,35820
