,date,pred,true
0,2021-08-07,6240.3027,6298.0215
1,2021-08-08,6066.825,5977.038
2,2021-08-09,6558.872,5975.9326
3,2021-08-10,6626.4614,6635.174
4,2021-08-11,6603.93,6613.616
5,2021-08-12,6603.931,6582.2583
6,2021-08-13,6598.0737,6528.778
7,2021-08-14,6259.2275,6198.8223
8,2021-08-15,6106.476,5983.757
9,2021-08-16,6543.55,6471.06
10,2021-08-17,6645.8364,6417.69
11,2021-08-18,6634.122,6299.402
12,2021-08-19,6617.4507,6290.715
13,2021-08-20,6601.6787,6312.497
14,2021-08-21,6235.346,6028.5933
15,2021-08-22,6085.299,5871.773
16,2021-08-23,6534.089,6335.6367
17,2021-08-24,6595.819,6306.076
18,2021-08-25,6587.7095,6286.873
19,2021-08-26,6603.9326,6360.3623
20,2021-08-27,6578.7,6458.062
21,2021-08-28,6204.255,6254.0283
22,2021-08-29,6095.6626,6040.195
23,2021-08-30,6520.5713,6356.2
24,2021-08-31,6600.779,6423.1323
25,2021-09-01,6614.2974,6493.1084
26,2021-09-02,6618.3525,6298.5425
27,2021-09-03,6603.9346,6362.3506
28,2021-09-04,6267.338,6188.2095
29,2021-09-05,6152.888,6039.7646
30,2021-09-06,6566.984,6537.5215
31,2021-09-07,6656.6523,6451.408
32,2021-09-08,6666.1143,6505.1514
33,2021-09-09,6678.2817,6636.3926
34,2021-09-10,6649.8936,6510.4546
35,2021-09-11,6256.975,6253.585
36,2021-09-12,6159.1973,6152.053
37,2021-09-13,6588.612,6474.404
38,2021-09-14,6691.7993,6517.15
39,2021-09-15,6692.7007,6618.6665
40,2021-09-16,6720.638,6681.2217
41,2021-09-17,6670.622,6699.5693
42,2021-09-18,6295.2783,6359.7954
43,2021-09-19,6176.3184,6085.813
44,2021-09-20,6598.0757,6575.688
45,2021-09-21,6696.757,6606.545
46,2021-09-22,6685.942,6620.951
47,2021-09-23,6693.602,6656.3955
48,2021-09-24,6653.949,6735.366
49,2021-09-25,6312.8506,6355.463
50,2021-09-26,6191.638,6186.116
51,2021-09-27,6600.3286,6522.6646
52,2021-09-28,6708.0205,6454.898
53,2021-09-29,6711.6255,6529.6504
54,2021-09-30,6728.2983,6377.2363
55,2021-10-01,6663.8633,6364.8223
56,2021-10-02,6300.234,5990.2646
57,2021-10-03,6217.324,5949.3384
58,2021-10-04,6645.8394,6535.559
59,2021-10-05,6720.636,6482.915
60,2021-08-08,6021.4507,5977.038
61,2021-08-09,6543.2124,5975.9326
62,2021-08-10,6566.642,6635.174
63,2021-08-11,6560.7837,6613.616
64,2021-08-12,6565.7393,6582.2583
65,2021-08-13,6553.5757,6528.778
66,2021-08-14,6177.3457,6198.8223
67,2021-08-15,6071.4624,5983.757
68,2021-08-16,6554.4775,6471.06
69,2021-08-17,6604.942,6417.69
70,2021-08-18,6572.05,6299.402
71,2021-08-19,6587.3667,6290.715
72,2021-08-20,6557.631,6312.497
73,2021-08-21,6191.7656,6028.5933
74,2021-08-22,6030.9087,5871.773
75,2021-08-23,6517.9814,6335.6367
76,2021-08-24,6569.345,6306.076
77,2021-08-25,6576.554,6286.873
78,2021-08-26,6591.873,6360.3623
